Country;Code;IsoCode;ShortName;Category;Name;OfficialLanguages;Groups;Parent
CH;CH-JU-PO-AL;;JU-PO-AL;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Alle;FR;;JU-PO
CH;CH-JU-PO-BA;;JU-PO-BA;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Basse-Allaine;FR;;JU-PO
CH;CH-JU-PO-BC;;JU-PO-BC;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Boncourt;FR;;JU-PO
CH;CH-JU-PO-BU;;JU-PO-BU;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Bure;FR;;JU-PO
CH;CH-JU-PO-BV;;JU-PO-BV;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Basse-Vendline;FR;;JU-PO
CH;CH-JU-PO-CC;;JU-PO-CC;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Courchavon;FR;;JU-PO
CH;CH-JU-PO-CD;;JU-PO-CD;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Courtedoux;FR;;JU-PO
CH;CH-JU-PO-CG;;JU-PO-CG;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Courgenay;FR;;JU-PO
CH;CH-JU-PO-CL;;JU-PO-CL;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Clos du Doubs;FR;;JU-PO
CH;CH-JU-PO-CN;;JU-PO-CN;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Cornol;FR;;JU-PO
CH;CH-JU-PO-CV;;JU-PO-CV;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Coeuve;FR;;JU-PO
CH;CH-JU-PO-DL;;JU-PO-DL;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Damphreux-Lugnez;FR;;JU-PO
CH;CH-JU-PO-FA;;JU-PO-FA;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Fahy;FR;;JU-PO
CH;CH-JU-PO-FO;;JU-PO-FO;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Fontenais;FR;;JU-PO
CH;CH-JU-PO-GF;;JU-PO-GF;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Grandfontaine;FR;;JU-PO
CH;CH-JU-PO-HA;;JU-PO-HA;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Haute-Ajoie;FR;;JU-PO
CH;CH-JU-PO-LB;;JU-PO-LB;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR La Baroche;FR;;JU-PO
CH;CH-JU-PO-PO;;JU-PO-PO;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Porrentruy;FR;;JU-PO
CH;CH-JU-PO-VC;;JU-PO-VC;FR commune,DE Gemeinde,IT comune,RM vischnanca,EN municipality;FR Vendlincourt;FR;;JU-PO
